父,表示名
Kingman(英),Kingman
Kitten's Joy(米),Kitten's Joy
Klimt,Klimt
Knicks Go(米),Knicks Go
Known Agenda(米),Known Agenda
Le Havre,Le Havre
Lea(米),Lea
Leinster,Leinster
Lemon Drop Kid,Lemon Drop Kid
Leroidesanimaux,Leroidesanimaux
Liam's Map,Liam's Map
Lonhro(豪),Lonhro
Lope de Vega,Lope de Vega
Lord Nelson,Lord Nelson
Lucky Vega,Lucky Vega
Maclean's Music,Maclean's Music
Magician(愛),Magician
Magna Grecia(愛),Magna Grecia
Majesticperfection(米),Majesticperfection
Make Believe,Make Believe
Malibu Moon,Malibu Moon
Manduro(独),Manduro
Masar(愛),Masar
Massaat(),Massaat
Mastercraftsman,Mastercraftsman
Maxfield(米),Maxfield
Maximum Security(米),Maximum Security
McKinzie(米),McKinzie
Medaglia d'Oro,Medaglia d'Oro
Mehmas,Mehmas
Mendelssohn,Mendelssohn
Midnight Lute,Midnight Lute
Mineshaft(米),Mineshaft
Mitole,Mitole
Mizzen Mast,Mizzen Mast
Mo Town,Mo Town
Modernist,Modernist
Mohaymen,Mohaymen
Mor Spirit(米),Mor Spirit
More Than Ready,More Than Ready
Mshawish(米),Mshawish
Mucho Macho Man(米),Mucho Macho Man
Mukhadram(英),Mukhadram
Munnings,Munnings
Myboycharlie,Myboycharlie
Nathaniel(愛),Nathaniel
New Approach,New Approach
New Bay(英),New Bay
Night of Thunder(愛),Night of Thunder
No Nay Never,No Nay Never
Not This Time,Not This Time
Nyquist(米),Nyquist
Oasis Dream(英),Oasis Dream
Ocean Park,Ocean Park
Olympic Glory(愛),Olympic Glory
Omaha Beach(米),Omaha Beach
Optimizer,Optimizer
Orb,Orb
Oscar Performance(米),Oscar Performance
Outstrip,Outstrip
Overanalyze,Overanalyze
Palace Pier(英),Palace Pier
Panis,Panis
Peltzer,Peltzer
Pinatubo(愛),Pinatubo
Pioneerof the Nile,Pioneerof the Nile
Pivotal,Pivotal
Point of Entry,Point of Entry
Postponed(愛),Postponed
Practical Joke(米),Practical Joke
Preferment(新),Preferment
Preservationist,Preservationist
Pride Of Dubai,Pride Of Dubai
Protectionist(独),Protectionist
Quality Road,Quality Road
Race Day,Race Day
Raven's Pass,Raven's Pass
Reliable Man(英),Reliable Man
Renat,Renat
Ribchester(愛),Ribchester
Rio de La Plata(米),Rio de La Plata
Roaring Lion(米),Roaring Lion
Roman Ruler,Roman Ruler
Run Away and Hide,Run Away and Hide
Runhappy,Runhappy
Savabeel(豪),Savabeel
Saxon Warrior(安平町),Saxon Warrior
Scat Daddy(米),Scat Daddy
Sea The Moon(独),Sea The Moon
Sea The StarsSea the Stars(愛),Sea The StarsSea the Stars
Sebring,Sebring
Shackleford,Shackleford
Shakin It Up,Shakin It Up
Shalaa,Shalaa
Shamardal(米),Shamardal
Shancelot(米),Shancelot
Showcasing,Showcasing
Silver State(米),Silver State
Sioux Nation,Sioux Nation
Sir Percy(英),Sir Percy
Siyouni,Siyouni
Smart Missile,Smart Missile
Smooth Daddy,Smooth Daddy
So You Think(新),So You Think
Soldier's Call,Soldier's Call
Sottsass(仏),Sottsass
Speightstown(米),Speightstown
Square Eddie,Square Eddie
St Mark's Basilica(仏),St Mark's Basilica
St Patrick's Day(米),St Patrick's Day
Starspangledbanner,Starspangledbanner
Stay Inside,Stay Inside
Stormy Atlantic,Stormy Atlantic
Street Boss,Street Boss
Street Cry(愛),Street Cry
Study of Man(愛),Study of Man
Summer Front,Summer Front
Super Saver,Super Saver
Sweynesse,Sweynesse
Take Charge Indy(米),Take Charge Indy
Tamayuz,Tamayuz
Tapit(米),Tapit
Tapiture,Tapit
Tapizar,Tapizar
Tapwrit(米),Tapwrit
Temple City,Temple City
Teofilo,Teofilo
Territories,Territories
The Autumn Sun(豪),The Autumn Sun
The Grey Gatsby(愛),The Grey Gatsby
The Gurkha(愛),The Gurkha
Thousand Words(米),Thousand Words
Tiz the Law(米),Tiz the Law
Tom's d'Etat,Tom's d'Etat
Tonalist(米),Tonalist
Too Darn Hot(英),Too Darn Hot
Toronado(愛),Toronado
Trapeze Artist(豪),Trapeze Artist
Twilight Son,Twilight Son
Twirling Candy,Twirling Candy
U S Navy Flag,U S Navy Flag
Ulysses(愛),Ulysses
Uncaptured,Uncaptured
Uncle Mo(米),Uncle Mo
Unified,Unified
Union Rags,Union Rags
Upstart,Upstart
Vekomaヴェコマ(米),Vekoma
Verrazano,Verrazano
Victor Ludorum(英),Victor Ludorum
Vino Rosso(米),Vino Rosso
Violence,Violence
Volatile,Volatile
War Command(米),War Command
War Front,War Front
War of Will(米),War of Will
West Coast(米),West Coast
Wootton Bassett(英),Wootton Bassett
Written Tycoon,Written Tycoon
Yaupon(米),Yaupon
Zarak(仏),Zarak
Zoffany,Zoffany
Zoustar,Zoustar
アイファーソング,アイファーソング
アイルハヴアナザーI'll Have Another(米),アイルハヴアナザー
アグニシャイン,アグニシャイン
アグネスデジタル,アグネスデジタル
アサクサキングス,アサクサキングス
アジアエクスプレス,アジアエクスプレス
アスカクリチャン,アスカクリチャン
アスクピーターパン,アスクピーターパン
アッミラーレ,アッミラーレ
アドマイヤオーラ,アドマイヤオーラ
アドマイヤコジーン,アドマイヤコジーン
アドマイヤマックス,アドマイヤマックス
アドマイヤマーズ,アドマイヤマーズ
アドマイヤムーン,アドマイヤムーン
アドミラブル,アドミラブル
アニマルキングダムAnimal Kingdom(米),アニマルキングダム
アポロキングダム,アポロキングダム
アポロケンタッキー,アポロケンタッキー
アポロソニック,アポロソニック
アメリカンペイトリオット,アメリカンペイトリオット
アルアイン,アルアイン
アルクトス,アルクトス
アルデバランIIAldebaran(米),アルデバランII
アルバート,アルバート
アレスバローズ,アレスバローズ
アロマカフェ,アロマカフェ
アンライバルド,アンライバルド
アーネストリー,アーネストリー
アールスター,アールスター
イスラボニータ,イスラボニータ
インカンテーション,インカンテーション
インティ,インティ
インディチャンプ,インディチャンプ
ウィルテイクチャージ,ウィルテイクチャージ
ウインバリアシオン,ウインバリアシオン
ウインブライト,ウインブライト
ウエスタンゼウス,ウエスタンゼウス
ウォータービルド,ウォータービルド
ウォーターリーグ,ウォーターリーグ
エイシンアポロン,エイシンアポロン
エイシンデピュティ,エイシンデピュティ
エイシンヒカリ,エイシンヒカリ
エイシンフラッシュ,エイシンフラッシュ
エキストラエンド,エキストラエンド
エスケンデレヤ,エスケンデレヤ
エスポワールシチー,エスポワールシチー
エタリオウ,エタリオウ
エピカリス,エピカリス
エピファネイア,エピファネイア
エフフォーリア,エフフォーリア
エポカドーロ,エポカドーロ
エンパイアペガサス,エンパイアペガサス
エンパイアメーカーEmpire Maker(米),エンパイアメーカー
エーシンシャラク,エーシンシャラク
エーシンジーライン,エーシンジーライン
エーシントップ,エーシントップ
エーシンフォワード,エーシンフォワード
オウケンブルースリ,オウケンブルースリ
オウケンワールド,オウケンワールド
オジュウチョウサン,オジュウチョウサン
オナーコード,オナーコード
オネストジョン,オネストジョン
オメガパフューム,オメガパフューム
オリオンザサンクス,オリオンザサンクス
オルフェーヴル,オルフェーヴル
オレハマッテルゼ,オレハマッテルゼ
オンファイア,オンファイア
オーシャンブルー,オーシャンブルー
オールステイ,オールステイ
オーヴァルエース,オーヴァルエース
カキツバタロイヤル,カキツバタロイヤル
カジノドライヴ,カジノドライヴ
カゼノグッドボーイ,カゼノグッドボーイ
カネヒキリ,カネヒキリ
カフェラピード,カフェラピード
カフジテイク,カフジテイク
カラヴァッジオ,カラヴァッジオ
カリズマティックCharismatic(米),カリズマティック
カリフォルニアクロームCalifornia Chrome(米),カリフォルニアクローム
カルストンライトオ,カルストンライトオ
カレンブラックヒル,カレンブラックヒル
カンパニー,カンパニー
ガルボ,ガルボ
キズナ,キズナ
キセキ,キセキ
キタサンブラック,キタサンブラック
キタサンミカヅキ,キタサンミカヅキ
キタノコマンドール,キタノコマンドール
キモンノカシワ,キモンノカシワ
キャプテンキング,キャプテンキング
キャプテントゥーレ,キャプテントゥーレ
キョウエイギア,キョウエイギア
キングカメハメハ,キングカメハメハ
キングズベストKing's Best(米),キングズベスト
キングヘイロー,キングヘイロー
キングリオ,キングリオ
キンシャサノキセキ,キンシャサノキセキ
ギンザグリングラス,ギンザグリングラス
クラウンレガーロ,クラウンレガーロ
クリエイターIICreator(米),クリエイター
クリストワイニング,クリストワイニング
クリソベリル,クリソベリル
クリーンエコロジー,クリーンエコロジー
クレスコグランド,クレスコグランド
クロフネ,クロフネ
クワイトファイン,クワイトファイン
グァンチャーレ,グァンチャーレ
グラスワンダー,グラスワンダー
グランデッツァ,グランデッツァ
グランプリボス,グランプリボス
グレーターロンドン,グレーターロンドン
グロリアスノア,グロリアスノア
グローリーヴェイズ,グローリーヴェイズ
ケイアイドウソジン,ケイアイドウソジン
ケイムホームCame Home(米),ケイムホーム
ケープブランコCape Blanco(英),ケープブランコ
コパノチャーリー,コパノチャーリー
コパノリチャード,コパノリチャード
コパノリッキー,コパノリッキー
コメート,コメート
コンデュイットConduit(愛),コンデュイット
コントレイル,コントレイル
ゴスホークケン,ゴスホークケン
ゴドリー,ゴドリー
ゴルトマイスター,ゴルトマイスター
ゴールスキー,ゴールスキー
ゴールデンバローズ,ゴールデンバローズ
ゴールデンマンデラ,ゴールデンマンデラ
ゴールドアクター,ゴールドアクター
ゴールドアリュール,ゴールドアリュール
ゴールドシップ,ゴールドシップ
ゴールドドリーム,ゴールドドリーム
ゴールドヘイロー,ゴールドヘイロー
サイモンラムセス,サイモンラムセス
サウスヴィグラス,サウスヴィグラス
サウンドスカイ,サウンドスカイ
サウンドボルケーノ,サウンドボルケーノ
サクラオリオン,サクラオリオン
サクラオールイン,サクラオールイン
サクラゼウス,サクラゼウス
サクラバクシンオー,サクラバクシンオー
サクラプレジデント,サクラプレジデント
サダムパテック,サダムパテック
サトノアラジン,サトノアラジン
サトノアレス,サトノアレス
サトノインプレッサ,サトノインプレッサ
サトノクラウン,サトノクラウン
サトノジェネシス,サトノジェネシス
サトノダイヤモンド,サトノダイヤモンド
サドンストーム,サドンストーム
サニングデール,サニングデール
サマーバードSummer Bird(米),サマーバード
サムライハート,サムライハート
サリオス,サリオス
サンカルロ,サンカルロ
サングラス,サングラス
サングレーザー,サングレーザー
サンダースノーThunder Snow(愛),サンダースノー
サンライズソア,サンライズソア
サンライズペガサス,サンライズペガサス
サートゥルナーリア,サートゥルナーリア
ザサンデーフサイチ,ザサンデーフサイチ
ザファクター,ザファクター
シゲルカガ,シゲルカガ
シスキンSiskin(米),シスキン
シニスターミニスターSinister Minister(米),シニスターミニスター
シビルウォー,シビルウォー
シャンハイボビーShanghai Bobby(米),シャンハイボビー
シャープアステカSharp Azteca(米),シャープアステカ
シュウジ,シュウジ
シュヴァルグラン,シュヴァルグラン
ショウナンカンプ,ショウナンカンプ
ショウナンバッハ,ショウナンバッハ
シルバーステート,シルバーステート
シルバーチャームSilver Charm(米),シルバーチャーム
シルポート,シルポート
シングンオペラ,シングンオペラ
シンボリクリスエス,シンボリクリスエス
ジャスタウェイ,ジャスタウェイ
ジャングルポケット,ジャングルポケット
ジャンダルム,ジャンダルム
ジュンツバサ,ジュンツバサ
ジョーカプチーノ,ジョーカプチーノ
スウィフトカレント,スウィフトカレント
スウェプトオーヴァーボードSwept Overboard(米),スウェプトオーヴァーボード
スクリーンヒーロー,スクリーンヒーロー
スクワートルスクワートSquirtle Squirt(米),スクワートルスクワート
スズカコーズウェイ,スズカコーズウェイ
スズカフェニックス,スズカフェニックス
スズカマンボ,スズカマンボ
スタチューオブリバティStatue of Liberty(米),スタチューオブリバティ
スターリングローズ,スターリングローズ
ステイゴールド,ステイゴールド
ステルヴィオ,ステルヴィオ
ストリートセンスStreet Sense(米),ストリートセンス
ストロングリターン,ストロングリターン
ストーミングホームStorming Home(英),ストーミングホーム
ストーミーシー,ストーミーシー
スニッツェルSnitzel(豪),スニッツェル
スノードラゴン,スノードラゴン
スパイキュール,スパイキュール
スパロービート,スパロービート
スピリッツミノル,スピリッツミノル
スピルバーグ,スピルバーグ
スペシャルウィーク,スペシャルウィーク
スマートオーディン,スマートオーディン
スマートファルコン,スマートファルコン
スワーヴリチャード,スワーヴリチャード
セイウンコウセイ,セイウンコウセイ
セイクリムズン,セイクリムズン
セレスハント,セレスハント
セレン,セレン
ゼンノロブロイ,ゼンノロブロイ
ソングオブウインド,ソングオブウインド
タイキシャトル,タイキシャトル
タイセイレジェンド,タイセイレジェンド
タイムパラドックス,タイムパラドックス
タガノゲルニカ,タガノゲルニカ
タガノロックオン,タガノロックオン
タツゴウゲキ,タツゴウゲキ
タニノギムレット,タニノギムレット
タニノフランケル,タニノフランケル
タリスマニックTalismanic(英),タリスマニック
タワーオブロンドン,タワーオブロンドン
タートルボウルTurtle Bowl(愛),タートルボウル
ダイシンオレンジ,ダイシンオレンジ
ダイシンサンダー,ダイシンサンダー
ダイシンバルカン,ダイシンバルカン
ダイワメジャー,ダイワメジャー
ダノンキングリー,ダノンキングリー
ダノンシャンティ,ダノンシャンティ
ダノンシャーク,ダノンシャーク
ダノンスマッシュ,ダノンスマッシュ
ダノンバラード,ダノンバラード
ダノンプレミアム,ダノンプレミアム
ダノンレジェンド,ダノンレジェンド
ダブルスター,ダブルスター
ダンカークDunkirk(米),ダンカーク
ダンスインザダーク,ダンスインザダーク
ダンスディレクター,ダンスディレクター
チェリークラウン,チェリークラウン
チュウワウィザード,チュウワウィザード
テイエムオペラオー,テイエムオペラオー
テイエムジンソク,テイエムジンソク
テーオーヘリオス,テーオーヘリオス
ディオスコリダー,ディオスコリダー
ディスクリートキャットDiscreet Cat(米),ディスクリートキャット
ディープインパクト,ディープインパクト
ディープエクシード,ディープエクシード
ディープスカイ,ディープスカイ
ディープブリランテ,ディープブリランテ
ディーマジェスティ,ディーマジェスティ
デクラレーションオブウォー,デクラレーションオブウォー
トゥザグローリー,トゥザグローリー
トゥザワールド,トゥザワールド
トウケイヘイロー,トウケイヘイロー
トビーズコーナーToby's Corner(米),トビーズコーナー
トランセンド,トランセンド
トワイニングTwining(米),トワイニング
トーセンジョーダン,トーセンジョーダン
トーセンファントム,トーセンファントム
トーセンブライト,トーセンブライト
トーセンホマレボシ,トーセンホマレボシ
トーセンラー,トーセンラー
トーセンレーヴ,トーセンレーヴ
トーセンロレンス,トーセンロレンス
トーホウジャッカル,トーホウジャッカル
ドゥラメンテ,ドゥラメンテ
ドリームジャーニー,ドリームジャーニー
ドリームバレンチノ,ドリームバレンチノ
ドレフォンDrefong(米),ドレフォン
ナカヤマフェスタ,ナカヤマフェスタ
ナダルNadal(米),ナダル
ナムラタイタン,ナムラタイタン
ニシケンモノノフ,ニシケンモノノフ
ニホンピロアワーズ,ニホンピロアワーズ
ニューイヤーズデイ,ニューイヤーズデイ
ネオユニヴァース,ネオユニヴァース
ネオリアリズム,ネオリアリズム
ネオヴァンドーム,ネオヴァンドーム
ネロ,ネロ
ノボジャック,ノボジャック
ノヴェリストNovellist(愛),ノヴェリスト
ノーザンリバー,ノーザンリバー
ノーブルミッションNoble Mission(英),ノーブルミッション
ハイアーゲーム,ハイアーゲーム
ハイランドリールHighland Reel(愛),ハイランドリール
ハギノハイブリッド,ハギノハイブリッド
ハクサンムーン,ハクサンムーン
ハタノヴァンクール,ハタノヴァンクール
ハットトリック,ハットトリック
ハッピースプリント,ハッピースプリント
ハーツクライ,ハーツクライ
ハードスパンHard Spun(米),ハードスパン
ハービンジャーHarbinger(英),ハービンジャー
バゴBago(仏),バゴ
バトルプランBattle Plan(米),バトルプラン
バンデ,バンデ
バンドワゴン,バンドワゴン
バンブーエール,バンブーエール
バーディバーディ,バーディバーディ
パイロPyro(米),パイロ
パドトロワ,パドトロワ
パレスマリス,パレスマリス
ヒラボクディープ,ヒラボクディープ
ヒルノダムール,ヒルノダムール
ヒロシゲゴールド,ヒロシゲゴールド
ビッグアーサー,ビッグアーサー
ビーチパトロールBeach Patrol(米),ビーチパトロール
ファインニードル,ファインニードル
ファスリエフFasliyev(米),ファスリエフ
フィエールマン,フィエールマン
フィガロ,フィガロ
フィレンツェファイア,フィレンツェファイア
フェノーメノ,フェノーメノ
フォーウィールドライブFour Wheel Drive(米),フォーウィールドライブ
フォーティナイナーズサンFourty Niners Son(米),フォーティナイナーズサン
フサイチセブン,フサイチセブン
フサイチリシャール,フサイチリシャール
フジキセキ,キセキ
フリオーソ,フリオーソ
フレンチデピュティFrench Deputy(米),フレンチデピュティ
ブラックタイド,ブラックタイド
ブラックタキシード,ブラックタキシード
ブリックスアンドモルタルBricks and Mortar(米),ブリックスアンドモルタル
ブルドッグボス,ブルドッグボス
ブレイクランアウト,ブレイクランアウト
プリサイスエンドPrecise End(米),プリサイスエンド
ヘニーハウンド,ヘニーハウンド
ヘニーヒューズHenny Hughes(米),ヘニーヒューズ
ヘンリーバローズ,ヘンリーバローズ
ベストウォーリア,ベストウォーリア
ベルシャザール,ベルシャザール
ベンバトルBenbatl(英),ベンバトル
ベーカバドBehkabad(仏),ベーカバド
ペルーサ,ペルーサ
ホッコータルマエ,ホッコータルマエ
ホットロッドチャーリーHot Rod Charlie(米),ホットロッドチャーリー
ホワイトマズルWhite Muzzle(英),ホワイトマズル
ホークビルHawkbill(米),ホークビル
ポアゾンブラック,ポアゾンブラック
ポエティックフレアPoetic Flare(愛),ポエティックフレア
マインドユアビスケッツMind Your Biscuits(米),マインドユアビスケッツ
マクフィMakfi(英),マクフィ
マクマホンMac Mahon(伊),マクマホン
マコトスパルビエロ,マコトスパルビエロ
マジェスティックウォリアーMajestic Warrior(米),マジェスティックウォリアー
マスクゾロ,マスクゾロ
マスタリー,マスタリー
マツリダゴッホ,マツリダゴッホ
マテラスカイ,マテラスカイ
マルターズアポジー,マルターズアポジー
マンハッタンカフェ,マンハッタンカフェ
マーベラスサンデー,マーベラスサンデー
ミキノバンジョー,ミキノバンジョー
ミスキャスト,ミスキャスト
ミスターメロディ,ミスターメロディ
ミスチヴィアスアレックスMischevious Alex(米),ミスチヴィアスアレックス
ミッキーアイル,ミッキーアイル
ミッキーグローリー,ミッキーグローリー
ミッキースワロー,ミッキースワロー
ミッキーロケット,ミッキーロケット
ミュゼスルタン,ミュゼスルタン
ミラアイトーン,ミラアイトーン
ミリオンディスク,ミリオンディスク
メイショウサムソン,メイショウサムソン
メイショウボーラー,メイショウボーラー
メジロダイボサツ,メジロダイボサツ
モズアスコット,モズアスコット
モンテロッソMonterosso(英),モンテロッソ
モーニン,モーニン
モーリス,モーリス
ヤマカツエース,ヤマカツエース
ヤマニンセラフィム,ヤマニンセラフィム
ヤングマンパワー,ヤングマンパワー
ユアーズトゥルーリ,ユアーズトゥルーリ
ヨシダYoshida(安平町),ヨシダ
ヨハネスブルグJohannesburg(米),ヨハネスブルグ
ラニ,ラニ
ラブイズブーシェ,ラブイズブーシェ
ラブリーデイ,ラブリーデイ
リアルインパクト,リアルインパクト
リアルスティール,リアルスティール
リオンディーズ,リオンディーズ
リオンリオン,リオンリオン
リッカバクシンオ,リッカバクシンオ
リッカロイヤル,リッカロイヤル
リッチーリッチー,リッチーリッチー
リヤンドファミユ,リヤンドファミユ
リーチザクラウン,リーチザクラウン
ルックスザットキル,ルックスザットキル
ルヴァンスレーヴ,ルヴァンスレーヴ
ルーラーシップ,ルーラーシップ
レイデオロ,レイデオロ
レインボーライン,レインボーライン
レオアクティブ,レオアクティブ
レガーロ,レガーロ
レッドスパーダ,レッドスパーダ
レッドファルクス,レッドファルクス
レッドベルジュール,レッドベルジュール
レーヴミストラル,レーヴミストラル
ロゴタイプ,ロゴタイプ
ロジャーバローズ,ロジャーバローズ
ロジユニヴァース,ロジユニヴァース
ロンギングダンサー,ロンギングダンサー
ロンドンタウン,ロンドンタウン
ローエングリン,ローエングリン
ロージズインメイRoses in May(米),ロージズインメイ
ローズキングダム,ローズキングダム
ロードアルティマ,ロードアルティマ
ロードカナロア,ロードカナロア
ロードバリオス,ロードバリオス
ローレルゲレイロ,ローレルゲレイロ
ワイドファラオ,ワイドファラオ
ワイルドラッシュWild Rush(米),ワイルドラッシュ
ワイルドワンダー,ワイルドワンダー
ワンアンドオンリー,ワンアンドオンリー
ワンダーアキュート,ワンダーアキュート
ワークフォースWorkforce(英),ワークフォース
ワールドエース,ワールドエース
ワールドプレミア,ワールドプレミア
ヴァンキッシュラン,ヴァンキッシュラン
ヴァンゴッホ,ヴァンゴッホ
ヴァンセンヌ,ヴァンセンヌ
ヴァーミリアン,ヴァーミリアン
ヴィクトワールピサ,ヴィクトワールピサ
ヴィットリオドーロ,ヴィットリオドーロ
